;;;;;;;;
nom_fichier;num_poste;nom_usuel;latitude;longitude;altitude;temperature;;
SH_MTN358160001.csv;58160001;NEVERS-MARZY;46.998;3.113;175;1.8;;
SH_MTN459183001.csv;59183001;DUNKERQUE;51.056;2.34;11;3.8;;
SH_MTN459343001.csv;59343001;LILLE-LESQUIN;50.57;3.098;47;1.8;;
SH_MTN060107001.csv;60107001;BREUIL-LE-VERT;49.361;2.439;52;2;;
SH_MTN260639001.csv;60639001;BEAUVAIS-TILLE;49.447;2.127;89;1.4;;
SH_MTN161001001.csv;61001001;ALENCON;48.446;0.11;143;2.5;;
SH_MTN462160001.csv;62160001;BOULOGNE-SEM;50.733;1.6;73;3.6;;
SH_MTN262298001.csv;62298001;CAMBRAI-EPINOY;50.226;3.164;76;1.8;;
SH_MTN262826001.csv;62826001;LE-TOUQUET;50.515;1.623;5;2.4;;
SH_MTN263113001.csv;63113001;CLERMONT-FD;45.787;3.149;331;2.5;;
SH_MTN063426001.csv;63426001;TAUVES;45.545;2.598;852;1.3;;
SH_MTN264024001.csv;64024001;BIARRITZ-PAYS-BASQUE;43.469;-1.534;71;8.1;;
SH_MTN064068001.csv;64068001;ASSON;43.127;-0.273;337;4;;
SH_MTN164189001.csv;64189001;SOCOA;43.395;-1.687;21;9.6;;
SH_MTN264549001.csv;64549001;PAU-UZEIN;43.385;-0.416;183;5.5;;
SH_MTN165258001.csv;65258001;LANNEMEZAN;43.114;0.413;638;3.6;;
SH_MTN165304001.csv;65304001;MAUBOURGUET;43.471;0.043;176;4;;
SH_MTN165344001.csv;65344001;TARBES-LOURDES-PYRENEES;43.188;0.0;360;3.3;;
SH_MTN266136001.csv;66136001;PERPIGNAN;42.737;2.873;42;6.1;;
SH_MTN166148001.csv;66148001;CAP BEAR;42.517;3.135;82;9.2;;
SH_MTN367124001.csv;67124001;STRASBOURG-ENTZHEIM;48.55;7.64;150;0.9;;
SH_MTN367482001.csv;67482001;STRASBOURG - BOTANIQUE;48.582;7.769;139;2.1;;
SH_MTN167498001.csv;67498001;UHRWILLER_SAPC;48.884;7.582;217;0.6;;
SH_MTN168205001.csv;68205001;COLMAR-MEYENHEIM;47.929;7.408;207;1.1;;
SH_MTN268224006.csv;68224006;MULHOUSE;47.75;7.289;245;0.6;;
SH_MTN268297001.csv;68297001;BALE-MULHOUSE;47.614;7.51;263;0.7;;
SH_MTN269029001.csv;69029001;LYON-BRON;45.721;4.949;202;3.4;;
SH_MTN269141001.csv;69141001;MORNANT;45.615;4.674;343;1.5;;
SH_MTN169196001.csv;69196001;ST-DIDIER-BEAUJ;46.164;4.566;345;1;;
SH_MTN269204002.csv;69204002;ST-GENIS-LAVAL;45.695;4.782;290;3.4;;
SH_MTN270006001.csv;70006001;AILLEVILLERS;47.915;6.338;275;0.3;;
SH_MTN270473001.csv;70473001;LUXEUIL;47.787;6.364;271;0.4;;
SH_MTN171105001.csv;71105001;MACON;46.295;4.794;219;2.9;;
SH_MTN171320001.csv;71320001;MT-ST-VINCENT;46.628;4.477;601;1.4;;
SH_MTN171482001.csv;71482001;ST-SYMPHORIEN DE MARMAGNE;46.852;4.336;349;1.8;;
SH_MTN171491001.csv;71491001;ST YAN;46.408;4.017;242;1.8;;
SH_MTN172093001.csv;72093001;CORMES;48.18;0.71;122;2.5;;
SH_MTN272181001.csv;72181001;LE MANS;47.946;0.194;51;3.2;;
SH_MTN072357001.csv;72357001;THOREE LES PINS;47.659;0.023;78;3.1;;
SH_MTN173026001.csv;73026001;AVRIEUX;45.214;6.717;1104;-2;;
SH_MTN173034002.csv;73034002;BEAUFORT-SUR-DORON;45.691;6.569;1036;-0.3;;
SH_MTN173054001.csv;73054001;BOURG ST MAURICE;45.613;6.763;865;-0.8;;
SH_MTN073064001.csv;73064001;CHALLES LES EAUX;45.565;5.97;298;2;;
SH_MTN074087001.csv;74087001;CONTAMINE-SUR- ARVE;46.129;6.34;452;1.4;;
SH_MTN274093001.csv;74093001;CRAN-GEVRIER;45.911;6.108;426;1.7;;
SH_MTN174137001.csv;74137001;GROISY_SAPC;46.013;6.175;670;0.8;;
SH_MTN174280001.csv;74280001;THONES;45.878;6.323;630;0.5;;
SH_MTN174281001.csv;74281001;THONON-INRA;46.367;6.455;376;2.5;;
SH_MTN475114001.csv;75114001;PARIS-MONTSOURIS;48.822;2.338;75;3.8;;
SH_MTN176116001.csv;76116001;ROUEN-BOOS;49.39;1.178;156;1.7;;
